FILE att_latest_chandle.tsv
45369 18778.270000000 00:00:00:00:00:00 -> 70:de:f9:d6:ab:5f 0x1d 0x0008  4 0a00ffff ....
46757 18880.029000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46761 18880.299000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46764 18880.779000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46766 18881.019000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46770 18881.289000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46773 18881.799000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46775 18882.039000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46779 18882.339000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46783 18882.879000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46785 18883.119000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46789 18883.389000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46792 18883.869000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46794 18884.139000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46796 18884.379000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46801 18884.919000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46803 18885.129000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46805 18885.369000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46811 18885.879000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46813 18886.119000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46815 18886.389000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46820 18886.869000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46822 18887.139000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46824 18887.379000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46829 18887.919000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46831 18888.159000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46833 18888.399000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46838 18888.909000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46840 18889.179000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46842 18889.419000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46847 18889.929000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46849 18890.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46851 18890.439000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46856 18890.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46858 18891.219000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46860 18891.459000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46865 18891.969000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46867 18892.209000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46872 18892.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46884 18892.959000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46894 18893.199000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46903 18893.469000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46920 18893.949000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46924 18894.219000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46930 18894.459000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46960 18894.969000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46968 18895.209000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46974 18895.449000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
46986 18895.959000000 70:de:f9:d6:ab:5f -> 00:00:00:00:00:00 0x1b 0x0104  0  
