frame.number	frame.time_relative	frame.len	bthci_acl.src.bd_addr	bthci_acl.dst.bd_addr	btl2cap.length	btatt.opcode	btatt.handle	btatt.value	data.data	_ws.col.info
47093	18896.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47094	18896.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47099	18897.189000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47100	18897.189000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47104	18897.459000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47105	18897.459000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47205	18897.939000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47206	18897.939000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47215	18898.209000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47216	18898.209000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47219	18898.449000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47220	18898.449000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47233	18898.959000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47234	18898.959000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47239	18899.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47240	18899.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47242	18899.439000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47243	18899.439000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47263	18899.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47264	18899.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47272	18900.189000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47273	18900.189000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47278	18900.429000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47279	18900.429000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47285	18900.939000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47286	18900.939000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47289	18901.179000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47290	18901.179000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47292	18901.449000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47293	18901.449000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47295	18901.929000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47296	18901.929000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47299	18902.199000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47300	18902.199000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47301	18902.439000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47302	18902.439000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47376	18902.949000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47377	18902.949000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47382	18903.189000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47383	18903.189000000	13	70:de:f9:d6:ab:5f	00:00:00:00:00:00	28	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47384	18903.429000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
47385	18903.429000000	18	70:de:f9:d6:ab:5f	00:00:00:00:00:00	33	0x1b	0x0104			Rcvd Handle Value Notification, Handle: 0x0104 (Unknown: Nordic UART Rx)
47387	18903.939000000	29	70:de:f9:d6:ab:5f	00:00:00:00:00:00						Rcvd 
