frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
54997	34134.150000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
55019	34134.171000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
55025	34134.354000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
55046	34134.982000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
55049	34135.044000000	0x3e	0x07	0x0401			Rcvd LE Meta (LE Data Length Change)
55061	34135.739000000	0x3e	0x04	0x0401		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
55672	34140.534000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
55812	34150.523000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
55881	34185.407000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
58015	34217.839000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
58986	34294.431000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
59123	34455.339000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
59760	34462.635000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
59966	34490.742000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
61646	34522.037000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
62554	34680.387000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63369	34687.622000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63498	34690.773000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63510	34691.277000000	0x3e	0x0a	0x0402	fc:25:ff:7f:d7:f2	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63512	34691.281000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
63518	34691.301000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63526	34691.697000000	0x3e	0x0a	0x0402	e6:2d:44:c8:d3:06	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63528	34691.701000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
63552	34691.725000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63562	34693.287000000	0x3e	0x0a	0x0402	fc:25:ff:7f:d7:f2	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63564	34693.291000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
63570	34693.311000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63578	34693.555000000	0x3e	0x0a	0x0402	e6:2d:44:c8:d3:06	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63593	34693.615000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
63654	34694.094000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
63657	34694.216000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
63669	34694.519000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
63784	34694.994000000	0x3e	0x03	0x0402		0x00	Rcvd LE Meta (LE Connection Update Complete)
63815	34695.389000000	0x3e	0x0a	0x0404	da:0a:6b:15:be:a3	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
63817	34695.392000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
63823	34695.415000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
