frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
23213	15899.038000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
24273	16265.632000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
24546	16353.774000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
24987	16355.734000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
25641	16419.052000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
25654	16419.088000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
25660	16419.679000000	0x3e	0x0a	0x0402	d3:7e:f8:98:c5:d3	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
25675	16419.742000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
25685	16420.159000000	0x3e	0x0c	0x0402		0x00	Rcvd LE Meta (LE PHY Update Complete)
25688	16420.251000000	0x3e	0x07	0x0402			Rcvd LE Meta (LE Data Length Change)
25700	16420.434000000	0x3e	0x04	0x0402		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
25826	16421.119000000	0x3e	0x03	0x0402		0x00	Rcvd LE Meta (LE Connection Update Complete)
25844	16421.182000000	0x3e	0x0a	0x0404	e2:90:df:27:2d:30	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
25863	16421.245000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
25902	16421.602000000	0x05		0x0402		0x00	Rcvd Disconnect Complete
25919	16421.662000000	0x3e	0x0c	0x0404		0x00	Rcvd LE Meta (LE PHY Update Complete)
25922	16421.753000000	0x3e	0x07	0x0404			Rcvd LE Meta (LE Data Length Change)
25934	16421.937000000	0x3e	0x04	0x0404		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
25984	16422.505000000	0x05		0x0404		0x00	Rcvd Disconnect Complete
26000	16423.134000000	0x3e	0x0a	0x0405	df:70:42:12:16:22	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
26015	16423.195000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
26024	16423.614000000	0x3e	0x0c	0x0405		0x00	Rcvd LE Meta (LE PHY Update Complete)
26028	16423.706000000	0x3e	0x07	0x0405			Rcvd LE Meta (LE Data Length Change)
26042	16423.890000000	0x3e	0x04	0x0405		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
26088	16424.427000000	0x05		0x0405		0x00	Rcvd Disconnect Complete
26160	16443.153000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
26622	16448.454000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
26872	16450.921000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
27041	16451.203000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
27125	16451.513000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
29571	16589.587000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
29993	16750.005000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
